Id;Time;LprimaryButton;LprimaryTouch;LsecondaryButton;LsecondaryTouch;LtriggerButton;LtriggerButtonForce;Lprimary2DAxis.x;Lprimary2DAxis.y;Lprimary2DAxisTouch;Lprimary2DAxisClick;Lsecondary2DAxis.x;Lsecondary2DAxis.y;Lsecondary2DAxisTouch;Lsecondary2DAxisClick;LgripButton;LgripButtonForce;LisTracked;LdevicePosition.x;LdevicePosition.y;LdevicePosition.z;LdeviceRotation.w;LdeviceRotation.x;LdeviceRotation.y;LdeviceRotation.z;LdeviceDirection.x;LdeviceDirection.y;LdeviceDirection.z;RprimaryButton;RprimaryTouch;RsecondaryButton;RsecondaryTouch;RtriggerButton;RtriggerButtonForce;Rprimary2DAxis.x;Rprimary2DAxis.y;Rprimary2DAxisTouch;Rprimary2DAxisClick;Rsecondary2DAxis.x;Rsecondary2DAxis.y;Rsecondary2DAxisTouch;Rsecondary2DAxisClick;RgripButton;RgripButtonForce;RisTracked;RdevicePosition.x;RdevicePosition.y;RdevicePosition.z;RdeviceRotation.w;RdeviceRotation.x;RdeviceRotation.y;RdeviceRotation.z;RdeviceDirection.x;RdeviceDirection.y;RdeviceDirection.z;HprimaryButton;HprimaryTouch;HsecondaryButton;HsecondaryTouch;HtriggerButton;HtriggerButtonForce;Hprimary2DAxis.x;Hprimary2DAxis.y;Hprimary2DAxisTouch;Hprimary2DAxisClick;Hsecondary2DAxis.x;Hsecondary2DAxis.y;Hsecondary2DAxisTouch;Hsecondary2DAxisClick;HgripButton;HgripButtonForce;HisTracked;HdevicePosition.x;HdevicePosition.y;HdevicePosition.z;HdeviceRotation.w;HdeviceRotation.x;HdeviceRotation.y;HdeviceRotation.z;HdeviceDirection.x;HdeviceDirection.y;HdeviceDirection.z
1745;24325;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.3488408;-0.2260877;-0.05348094;0.9302903;0.0251388;-0.3564038;-0.08309212;-0.6672956;0.01245592;0.7446887;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.0343551;0.02798204;-0.3229483;0.8842961;0.02719028;-0.4661312;-0.001656729;-0.8244861;-0.04654401;0.5639648
1746;24339;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.3487729;-0.2261733;-0.05356009;0.9301789;0.02391013;-0.3570791;-0.08179199;-0.6682063;0.01393103;0.7438456;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.03432253;0.02795864;-0.3228385;0.8843972;0.02730541;-0.4659325;-0.001731409;-0.8242333;-0.04668421;0.5643227
1747;24353;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.3486135;-0.2261703;-0.05358336;0.9303496;0.02300924;-0.3568739;-0.08100143;-0.6677626;0.01500133;0.7442231;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.03427796;0.02792475;-0.3227252;0.8844389;0.02738172;-0.4658489;-0.001734412;-0.8241248;-0.04681896;0.5644701
1748;24367;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.3484913;-0.22617;-0.0536272;0.930531;0.02257412;-0.3564661;-0.08083504;-0.667055;0.01561805;0.7448447;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.03425411;0.02790917;-0.3226028;0.8844865;0.02735409;-0.4657602;-0.001691679;-0.8240098;-0.04681281;0.5646384
1749;24381;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.348373;-0.2261607;-0.05367407;0.930688;0.0227453;-0.3559788;-0.08112764;-0.666301;0.01542189;0.7455235;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.03424971;0.02790985;-0.3224736;0.8845072;0.0273496;-0.4657209;-0.001745911;-0.8239625;-0.04675562;0.5647122
1750;24394;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.3482132;-0.2261981;-0.05364943;0.9307954;0.02277158;-0.3556401;-0.08137266;-0.6657624;0.0154874;0.7460031;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.03425403;0.02790603;-0.3223411;0.8845336;0.02736844;-0.4656693;-0.001806824;-0.8238993;-0.04673385;0.5648061
1751;24408;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.3480858;-0.2262488;-0.05359903;0.9307846;0.02254893;-0.3556311;-0.08159716;-0.6657118;0.01606059;0.7460361;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.03425261;0.02787951;-0.3222122;0.8845834;0.02744177;-0.4655706;-0.001804388;-0.823771;-0.04686892;0.5649819
1752;24422;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.3479695;-0.2263068;-0.05355182;0.9308152;0.02225876;-0.3555427;-0.08171396;-0.6655268;0.01666802;0.7461879;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.03421497;0.0278515;-0.3220284;0.8846072;0.02754444;-0.46552;-0.001620215;-0.8236939;-0.04722353;0.5650649
1753;24436;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.3478999;-0.2263324;-0.05358173;0.9308569;0.02216923;-0.3554159;-0.08181419;-0.6653103;0.01688338;0.746376;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.03414439;0.02784919;-0.3217794;0.8845829;0.02764408;-0.465561;-0.001389955;-0.8237314;-0.04761274;0.5649776
1754;24450;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.3478432;-0.2263627;-0.05365691;0.9308769;0.02238014;-0.355295;-0.08205426;-0.6651446;0.01664063;0.7465292;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.03408698;0.02785075;-0.3215362;0.8845605;0.02766532;-0.4656028;-0.00124255;-0.8237763;-0.04778623;0.5648974
1755;24464;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.3478086;-0.2264109;-0.05378224;0.930872;0.02286507;-0.3551338;-0.08267085;-0.6649487;0.01614951;0.7467144;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.03409491;0.02782184;-0.321398;0.8845435;0.02767744;-0.4656344;-0.0011849;-0.8238134;-0.04786034;0.5648371
1756;24478;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;False;0;0;0;0;0;0;0;0;0;1;False;False;False;False;True;1;0;0;False;False;0;0;False;False;False;0;True;-0.3478414;-0.2264962;-0.05396384;0.930823;0.02326512;-0.3550584;-0.08343156;-0.6648752;0.01593473;0.7467844;False;False;False;False;False;0;0;0;False;False;0;0;False;False;False;0;True;-0.03411648;0.02781431;-0.3212543;0.8844762;0.02753601;-0.465771;-0.00104861;-0.8239844;-0.04773308;0.5645983
